machine,os,utc-timestamp,app,peep_ms,peep_cycles,peep_size,nopeep_ms,nopeep_cycles,nopeep_size,clock_hz
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstructp,1,89742,3072,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tstructv,1,452371,5760,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tsvbuf2,3,1125160,6912,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tswitch,1,30560,2176,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tsyntax,1,56777,4480,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,ttmp,2,57682,5376,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,ttrig,141,56314491,16000,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,ttt,135,54167286,3456,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,ttype2,1,21391,3328,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,ttype32,1,21893,3200,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,ttypesr,1,22371,3584,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tunary,1,613271,5376,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tunary32,1,27143,3712,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tunaryp,3,1074245,5120,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tungetc,1,42051,5120,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tunion,1,23327,2048,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tunion2,1,264722,3712,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tvariad,1,28962,2944,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,tzpad,1,355920,6528,,,,400000000
Davids-MacBook-Air,macOS,2026-06-28T02:29:10Z,wumpus,1,271139,11904,,,,400000000
